site.Country;site.LatDD;site.LongDD;site.SiteName;site.SiteCODE;sample.SampleCODE;ecofig.Aquatics;ecofig.Carrion;ecofig.Disturbed/arable;ecofig.Dry dead wood;ecofig.Dung/foul habitats;ecofig.General synanthropic;ecofig.Halotolerant;ecofig.Heathland & moorland;ecofig.Indicators: Coniferous;ecofig.Indicators: Deciduous;ecofig.Indicators: Dung;ecofig.Indicators: Running water;ecofig.Indicators: Standing water;ecofig.Meadowland;ecofig.Mould beetles;ecofig.Open wet habitats;ecofig.Pasture/Dung;ecofig.Sandy/dry disturbed/arable;ecofig.Stored grain pest;ecofig.Wetlands/marshes;ecofig.Wood and trees;sample.CalAgeEarliest;sample.CalAgeLatest;sample.Total Of Abundance
Scotland;58.88334;-3.383333;Heldalewater, Hoy;SITE000284;SAMP000710;3.45;3.45;3.45;0;10.34;3.45;3.45;17.24;0;0;0;0;0;13.79;3.45;6.9;3.45;3.45;0;13.79;10.34;4350;4155;29
Scotland;58.88334;-3.383333;Heldalewater, Hoy;SITE000284;SAMP000709;3.85;1.92;1.92;0;7.69;1.92;3.85;11.54;0;0;0;0;0;15.38;0;7.69;5.77;5.77;0;19.23;13.46;4350;4155;52
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002658;0;0;0;0;0;0;14.29;28.57;0;0;0;0;0;0;0;14.29;0;0;0;28.57;14.29;4281;3979;7
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002657;12.5;0;0;0;0;0;12.5;25;0;0;0;0;0;0;0;12.5;0;0;0;25;12.5;4225;3915;8
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004247;7.14;4.76;2.38;0;9.52;4.76;7.14;9.52;2.38;0;0;0;2.38;7.14;0;4.76;9.52;4.76;0;11.9;11.9;4218;3844;42
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005212;0;0;0;0;0;0;0;0;0;0;0;0;0;33.33;0;0;0;0;0;66.67;0;4216;3645;3
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002656;6.67;0;6.67;0;0;0;6.67;20;0;0;0;0;0;6.67;0;6.67;0;6.67;0;20;20;4145;3874;15
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006209;12.5;2.5;2.5;0;2.5;2.5;7.5;7.5;0;0;2.5;0;2.5;10;0;10;7.5;5;0;10;15;4141;3369;40
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002655;0;0;0;0;0;0;20;40;0;0;0;0;0;0;0;20;0;0;0;20;0;4084;3833;5
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002642;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;4082;3731;2
England;51.50831;-0.00857;London: Poplar High St.;SITE000980;SAMP005374;17.65;2.94;5.88;2.94;2.94;2.94;0;2.94;0;2.94;0;2.94;5.88;2.94;0;5.88;2.94;2.94;0;20.59;14.71;4071;3853;34
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002654;13.33;0;0;0;0;0;6.67;26.67;0;0;0;0;6.67;0;0;6.67;0;0;0;26.67;13.33;4059;3720;15
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005211;50;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;25;0;3980;3495;4
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004246;13.33;4.44;4.44;0;8.89;4.44;6.67;6.67;2.22;0;0;0;2.22;6.67;0;4.44;11.11;6.67;0;8.89;8.89;3961;3633;45
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002653;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;3958;3692;1
England;51.48822;0.00928;Greenwich: Bellot St.;SITE000979;SAMP005372;8.62;3.45;1.72;0;3.45;0;3.45;3.45;3.45;0;1.72;3.45;3.45;5.17;0;3.45;3.45;3.45;0;29.31;18.97;3890;3649;58
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002652;50;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;3867;3640;2
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006210;12.28;1.75;1.75;0;5.26;1.75;5.26;10.53;0;0;3.51;0;1.75;12.28;0;7.02;7.02;3.51;0;12.28;14.04;3840;3071;57
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003080;5.8;2.17;4.35;1.45;2.9;2.9;5.8;9.42;2.17;0.72;0.72;0;0.72;11.59;0;4.35;2.9;7.97;0;13.04;21.01;3835;2925;138
England;52.01611;-2.083055;Aston Mill: Late Holocene;SITE000031;SAMP000037;14.29;0;0;0;0;0;0;14.29;0;0;0;0;14.29;0;0;0;14.29;14.29;0;14.29;14.29;3833;3465;7
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002651;20;0;0;0;0;0;0;40;0;0;0;0;20;0;0;0;0;0;0;0;20;3830;3591;5
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005210;0;0;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;0;0;0;50;16.67;3828;3390;6
England;51.48822;0.00928;Greenwich: Bellot St.;SITE000979;SAMP005373;20;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;3825;3566;5
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002650;33.33;0;0;0;0;0;0;33.33;0;0;0;0;0;0;0;0;0;0;0;33.33;0;3824;3494;3
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002649;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;20;20;3693;3468;5
England;51.51885;0.0582;Beckton: Woolwich Manor Way;SITE000977;SAMP005369;16.33;0;4.08;2.04;0;0;0;0;0;2.04;2.04;2.04;6.12;10.2;2.04;4.08;2.04;2.04;0;28.57;16.33;3690;3480;49
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006212;17.24;3.45;3.45;0;6.9;3.45;3.45;6.9;0;0;3.45;0;0;10.34;0;3.45;6.9;3.45;0;13.79;13.79;3686;2890;29
England;51.49282;0.1060037;Greenwich: Abbey Wood;SITE000981;SAMP005375;14.75;0;4.92;1.64;0;0;4.92;6.56;1.64;4.92;1.64;3.28;3.28;6.56;0;0;1.64;3.28;0;22.95;18.03;3682;3482;61
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005209;28.57;0;0;0;0;0;0;14.29;0;0;0;0;0;14.29;0;0;0;0;0;28.57;14.29;3640;3213;7
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002648;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;3639;3409;1
England;51.50449;0.1569758;Bexley: Norman Road;SITE000976;SAMP005367;15.38;0;3.85;1.28;1.28;0;1.28;1.28;1.28;2.56;2.56;3.85;5.13;3.85;1.28;2.56;5.13;3.85;0;17.95;25.64;3611;3452;78
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004245;7.46;2.24;5.97;0;4.48;5.97;6.72;5.97;1.49;0;0.75;0.75;2.99;13.43;1.49;2.24;5.22;5.97;0;10.45;16.42;3611;3361;134
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002647;0;0;0;0;0;0;0;25;0;0;0;0;0;25;0;0;0;0;0;50;0;3575;3384;4
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006211;11.9;2.38;4.76;0;2.38;4.76;7.14;9.52;0;0;2.38;0;2.38;9.52;0;2.38;9.52;7.14;0;11.9;11.9;3564;2848;42
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002646;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;20;20;0;0;20;3560;3359;5
England;50.17972;-5.605278;Porth Meare Cove;SITE000470;SAMP001227;5.88;5.88;2.94;0;8.82;2.94;2.94;11.76;0;0;2.94;0;0;11.76;0;2.94;8.82;0;0;23.53;8.82;3544;2866;34
England;50.17972;-5.605278;Porth Meare Cove;SITE000470;SAMP001228;6.25;4.17;8.33;0;8.33;2.08;4.17;8.33;0;0;0;0;0;10.42;0;0;6.25;6.25;0;27.08;8.33;3544;2866;48
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002645;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;3250;1
England;52.15;-1.85;Bidford on Avon: Pilgrim Lock;SITE000057;SAMP001968;11.43;2.86;14.29;0;2.86;0;5.71;8.57;0;0;2.86;2.86;0;14.29;0;2.86;5.71;8.57;0;8.57;8.57;3449;2876;35
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002644;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;3445;3215;1
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002643;0;0;0;0;0;0;0;28.57;0;0;0;0;0;0;0;0;0;0;0;42.86;28.57;3380;3169;7
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005208;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3350;2878;1
England;52.15;-1.85;Bidford on Avon: Pilgrim Lock;SITE000057;SAMP001963;11.11;2.02;9.09;0;7.07;3.03;5.05;7.07;0;1.01;1.01;5.05;0;7.07;0;2.02;6.06;8.08;0;16.16;9.09;3330;2786;99
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002641;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;3325;3005;1
England;52.15;-1.85;Bidford on Avon: Pilgrim Lock;SITE000057;SAMP001965;8.54;1.83;9.76;0;7.32;2.44;4.27;6.71;0;0.61;1.83;2.44;1.83;10.98;0;4.27;7.32;8.54;0;12.2;9.15;3325;2780;164
England;51.13972;-2.760278;Tinney's Brushwood;SITE000610;SAMP001632;8.7;2.17;3.62;0;7.25;1.45;3.62;10.14;0;0.72;4.35;0;2.17;7.25;0;3.62;8.7;4.35;0;21.01;10.87;3235;3071;138
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002640;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;25;0;3209;2963;4
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005207;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3164;2759;2
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002639;7.5;0;10;0;2.5;0;5;10;0;2.5;0;0;0;12.5;0;5;2.5;7.5;0;20;15;3158;2890;40
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006213;10.64;2.13;4.26;0;4.26;2.13;8.51;8.51;0;0;2.13;0;0;14.89;0;8.51;6.38;6.38;0;6.38;14.89;3104;2341;47
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002638;0;0;14.29;0;0;0;0;28.57;0;0;0;0;0;14.29;0;0;0;14.29;0;14.29;14.29;3072;2853;7
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005206;33.33;0;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;0;0;0;16.67;16.67;3056;2497;6
England;52.75778;-1.807222;Yoxall Bridge;SITE000693;SAMP001807;12.5;1.04;7.29;0.52;4.69;3.13;3.65;7.29;0;0;0.52;0.52;2.08;9.38;1.04;3.13;4.17;6.77;0;22.92;9.38;3033;2760;192
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002637;0;0;0;0;0;0;0;20;0;0;0;0;0;20;0;0;0;0;0;60;0;2996;2790;5
England;53.82388;-0.96239;North Duffield;SITE000989;SAMP005488;18.18;4.55;0;9.09;4.55;0;4.55;4.55;0;4.55;0;0;4.55;0;0;0;4.55;0;0;4.55;36.36;2991;2796;22
Croatia;45;14.58;Okruglo;SITE000852;SAMP004087;4.85;2.42;6.06;0;5.45;6.06;6.67;6.67;0;0.61;0;0;0;11.52;2.42;4.85;4.85;6.06;0.61;16.36;14.55;2961;2460;165
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002636;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;2945;2770;1
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002635;12.5;0;0;0;0;0;0;25;0;0;0;0;12.5;0;0;0;0;0;0;50;0;2877;2751;8
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002634;16.67;0;8.33;0;0;0;0;25;0;0;0;0;0;8.33;0;0;0;8.33;0;25;8.33;2850;2741;12
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002633;0;0;0;0;0;0;0;25;0;0;0;0;0;25;0;0;0;0;0;50;0;2844;2543;4
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006214;16.67;0;0;0;0;0;8.33;12.5;0;0;4.17;0;4.17;12.5;0;8.33;4.17;4.17;0;12.5;12.5;2841;2065;24
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005205;33.33;0;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;0;0;0;16.67;16.67;2838;2357;6
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002632;4;0;8;0;0;4;4;12;0;0;0;0;0;16;4;4;0;8;0;24;12;2763;2496;25
England;52.21556;-1.8725;Alcester: Coulter's Garage;SITE000012;SAMP000025;14.81;2.47;3.7;1.23;8.64;2.47;3.7;7.41;0;1.23;0;1.23;2.47;6.17;1.23;3.7;8.64;6.17;0;13.58;11.11;2750;2160;81
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002631;3.39;1.69;6.78;0;5.08;1.69;5.08;13.56;0;0;0;0;1.69;8.47;1.69;1.69;3.39;6.78;0;25.42;13.56;2748;2486;59
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005204;28.57;0;0;0;0;0;0;14.29;0;0;0;0;0;14.29;0;0;0;0;0;28.57;14.29;2743;2324;7
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003079;4.92;1.64;5.74;1.64;1.64;2.46;2.46;12.3;2.46;0.82;0.82;0;0.82;12.3;0;3.28;2.46;5.74;0;17.21;21.31;2740;1876;122
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002630;12.9;0;3.23;0;6.45;3.23;0;16.13;0;0;0;0;3.23;9.68;0;0;3.23;3.23;0;25.81;12.9;2723;2379;31
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006215;16.67;0;0;0;0;0;3.33;10;0;0;3.33;0;3.33;16.67;0;3.33;3.33;3.33;0;16.67;20;2704;1873;30
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002629;0;0;12.5;0;0;0;6.25;18.75;0;0;0;0;0;18.75;0;0;0;12.5;0;18.75;12.5;2702;2354;16
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005203;33.33;0;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;0;0;0;16.67;16.67;2699;2060;6
England;52.15;-1.866667;Bidford on Avon;SITE000905;SAMP004570;50;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;2685;2005;2
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005202;12.5;0;0;0;0;0;0;12.5;0;0;0;0;0;12.5;0;0;0;0;0;50;12.5;2345;1948;8
England;51.79333;-1.3;Yarnton;SITE000850;SAMP004065;11.64;2.12;7.94;0;5.82;2.65;5.82;4.76;0;0;1.59;0;2.12;8.99;2.12;3.17;6.88;5.29;0;21.69;7.41;2318;1894;189
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005201;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2306;1742;3
England;51.79333;-1.3;Yarnton;SITE000850;SAMP004066;9.92;3.31;6.61;0;9.09;2.48;5.79;4.13;0;0;1.65;0.83;0.83;8.26;0.83;4.13;9.92;4.13;0;20.66;7.44;2118;1629;121
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006216;40;0;0;0;0;0;0;0;0;0;20;0;20;0;0;0;0;0;0;0;20;2105;1613;5
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005200;22.22;0;0;0;0;0;0;11.11;0;0;0;0;0;11.11;0;11.11;0;11.11;0;22.22;11.11;2053;1609;9
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002628;5.56;0;8.33;0;5.56;0;5.56;8.33;0;0;0;0;2.78;13.89;0;2.78;5.56;8.33;0;25;8.33;1990;1824;36
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006217;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1944;1524;2
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005199;20;0;0;0;0;0;0;20;0;0;0;0;0;20;0;0;0;0;0;20;20;1896;1420;5
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003081;8.33;2.38;2.38;0;2.38;3.57;4.76;8.33;5.95;0;2.38;0;2.38;7.14;1.19;4.76;4.76;3.57;0;16.67;19.05;1874;1424;84
England;52.325;-2.266667;Stourport;SITE000574;SAMP001579;9.09;1.36;3.64;0.45;5.45;0.91;4.09;7.27;0;2.27;0;5;0.45;13.18;0;3.18;3.64;4.09;0;15.45;20.45;1858;1552;220
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005198;11.76;5.88;5.88;0;5.88;5.88;5.88;5.88;0;0;0;0;0;11.76;0;5.88;5.88;5.88;0;11.76;11.76;1736;1333;17
England;51.79333;-1.3;Yarnton;SITE000850;SAMP004067;4.88;3.66;4.88;0;9.76;6.1;8.54;6.1;0;0;0;0;1.22;10.98;2.44;3.66;8.54;3.66;0;17.07;8.54;1693;1305;82
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005197;16.67;0;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;0;0;0;33.33;16.67;1601;1275;6
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005196;37.5;0;0;0;0;0;0;12.5;0;0;0;0;0;12.5;0;0;0;0;0;25;12.5;1517;1068;8
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004773;4.44;6.67;0;0;13.33;11.11;6.67;6.67;0;4.44;0;0;0;4.44;4.44;2.22;4.44;2.22;0;13.33;15.56;1381;1280;45
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004774;0;0;0;0;28.57;0;0;14.29;0;0;0;0;0;28.57;0;0;28.57;0;0;0;0;1344;1185;7
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006219;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316;1280;2
England;51.79333;-1.3;Yarnton;SITE000850;SAMP004068;11.76;3.27;6.54;0;9.15;3.92;5.23;3.27;0;0;0;0.65;3.27;8.5;1.31;3.27;5.88;5.88;0;21.57;6.54;1290;957;153
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006220;26.67;0;0;0;0;0;6.67;6.67;0;0;13.33;0;6.67;6.67;0;6.67;6.67;0;0;6.67;13.33;1176;1058;15
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004772;0;4.35;0;0;26.09;13.04;4.35;4.35;0;0;0;0;0;4.35;0;8.7;8.7;0;0;17.39;8.7;1173;929;23
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006218;10;5;5;0;10;5;5;10;0;0;5;0;0;10;0;0;10;5;0;10;10;1056;961;20
England;51.79333;-1.3;Yarnton;SITE000850;SAMP004069;7.75;3.1;6.2;0;6.2;3.1;7.75;5.43;0;0;0.78;0;0.78;13.18;0.78;3.1;6.2;6.2;0;20.93;8.53;961;675;129
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004770;0;3.03;0;0;12.12;15.15;0;6.06;0;0;0;0;0;9.09;6.06;6.06;6.06;6.06;3.03;15.15;12.12;937;796;33
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003082;6.94;1.39;4.17;0;2.78;1.39;4.17;11.11;4.17;1.39;4.17;0;1.39;8.33;0;4.17;9.72;8.33;0;9.72;16.67;934;705;72
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004771;1.52;3.03;4.55;0;10.61;12.12;7.58;4.55;0;0;0;0;0;7.58;4.55;7.58;3.03;4.55;0;16.67;12.12;930;796;66
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006221;33.33;0;0;0;0;0;0;0;0;0;33.33;0;33.33;0;0;0;0;0;0;0;0;917;677;3
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004769;2.86;5.71;1.43;0;14.29;11.43;4.29;5.71;0;0;0;0;0;7.14;4.29;4.29;5.71;5.71;0;14.29;12.86;908;731;70
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004768;0;2.63;2.63;1.32;10.53;10.53;7.89;6.58;0;0;0;0;0;7.89;3.95;5.26;10.53;5.26;0;11.84;13.16;908;562;76
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006222;22.22;5.56;5.56;0;5.56;5.56;11.11;0;0;0;5.56;0;5.56;5.56;0;5.56;5.56;5.56;0;5.56;5.56;904;558;18
Ireland;53.78333;-7.416667;Ballywillin;SITE000911;SAMP004767;4.29;4.29;2.86;0;10;8.57;4.29;7.14;0;0;0;1.43;0;11.43;2.86;2.86;7.14;4.29;0;15.71;12.86;786;547;70
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006223;12.5;0;0;0;0;0;12.5;12.5;0;0;12.5;0;0;12.5;0;12.5;0;0;0;12.5;12.5;704;549;8
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006224;28.57;14.29;0;0;14.29;0;0;0;0;0;14.29;0;14.29;0;0;0;14.29;0;0;0;0;502;307;7
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006225;25;0;0;0;0;0;25;0;0;0;0;0;25;0;0;25;0;0;0;0;0;286;100;4
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006228;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;50;0;266;22;2
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006227;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266;22;1
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006226;33.33;0;0;0;0;0;0;0;0;0;33.33;0;33.33;0;0;0;0;0;0;0;0;266;22;3
