site.Country;site.LatDD;site.LongDD;site.SiteName;site.SiteCODE;sample.SampleCODE;ecofig.Aquatics;ecofig.Carrion;ecofig.Disturbed/arable;ecofig.Dry dead wood;ecofig.Dung/foul habitats;ecofig.General synanthropic;ecofig.Halotolerant;ecofig.Heathland & moorland;ecofig.Indicators: Coniferous;ecofig.Indicators: Deciduous;ecofig.Indicators: Dung;ecofig.Indicators: Running water;ecofig.Indicators: Standing water;ecofig.Meadowland;ecofig.Mould beetles;ecofig.Open wet habitats;ecofig.Pasture/Dung;ecofig.Sandy/dry disturbed/arable;ecofig.Stored grain pest;ecofig.Wetlands/marshes;ecofig.Wood and trees;sample.CalAgeEarliest;sample.CalAgeLatest;sample.Total Of Abundance
Wales;51.52528;-3.523611;Llanilid;SITE000358;SAMP002285;16.39;1.64;8.2;0;3.28;1.64;4.92;6.56;0;0;0;0;3.28;9.84;1.64;1.64;1.64;8.2;0;19.67;11.48;11182;10792;61
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000248;9.09;3.03;6.06;0;9.09;6.06;9.09;6.06;0;0;0;0;3.03;12.12;3.03;3.03;3.03;3.03;0;15.15;9.09;11170;10583;33
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000587;0;6.67;6.67;0;6.67;6.67;6.67;6.67;0;0;0;0;0;13.33;0;6.67;6.67;6.67;0;13.33;13.33;11133;10523;15
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004278;11.36;2.27;4.55;0;4.55;4.55;4.55;6.82;2.27;0;2.27;2.27;2.27;9.09;2.27;2.27;4.55;4.55;0;15.91;13.64;11101;10676;44
England;52.54333;-1.691667;Lea Marston B;SITE000342;SAMP000871;8.65;2.16;6.49;0.54;4.86;1.62;3.78;6.49;0;1.62;0;1.62;0;8.11;0.54;3.78;4.32;7.03;0;18.92;19.46;11101;10440;185
England;52.51417;-1.976389;West Bromwich;SITE000647;SAMP001727;4.76;0;4.76;0;0;0;9.52;14.29;0;0;0;0;0;9.52;0;4.76;0;4.76;0;28.57;19.05;11098;10575;21
England;52.51417;-1.976389;West Bromwich;SITE000647;SAMP001728;5.26;0;5.26;0;0;0;5.26;15.79;0;0;0;5.26;0;10.53;0;0;0;5.26;0;26.32;21.05;11098;10575;19
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000584;6.67;3.33;3.33;0;6.67;3.33;6.67;6.67;0;0;0;0;0;10;0;10;6.67;6.67;0;16.67;13.33;11094;10433;30
England;52.51417;-1.976389;West Bromwich;SITE000647;SAMP001731;6.98;2.33;2.33;0;4.65;2.33;2.33;11.63;0;2.33;0;0;0;9.3;0;4.65;4.65;4.65;0;25.58;16.28;11076;8593;43
England;51.75056;-1.435;Mingies Ditch 1;SITE000396;SAMP001043;11.63;2.33;4.65;0;5.43;3.88;4.65;7.75;0;0;0;1.55;0.78;13.95;2.33;2.33;3.88;5.43;0;20.93;8.53;11075;10265;129
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005751;11.54;3.85;7.69;0;3.85;3.85;3.85;3.85;0;3.85;0;0;3.85;7.69;0;3.85;3.85;7.69;0;19.23;11.54;11071;10668;26
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003992;12.5;2.08;4.17;0;4.17;2.08;4.17;10.42;0;0;0;0;2.08;10.42;0;8.33;4.17;2.08;0;20.83;12.5;11068;9703;48
England;53.23778;-2.506389;Davenham: Church Moss;SITE000128;SAMP000202;8.28;2.07;3.45;0;6.9;4.83;7.59;5.52;0;0;0;0;2.07;12.41;2.07;3.45;3.45;4.83;0;20.69;12.41;11066;10504;145
Sweden;56.1;13.06667;Körslättamossen;SITE000323;SAMP000802;33.33;0;0;0;0;0;0;0;0;0;0;0;0;33.33;0;0;0;0;0;33.33;0;10780;10240;3
England;53.23778;-2.506389;Davenham: Church Moss;SITE000128;SAMP000205;10.57;4.07;3.25;0.81;7.32;2.44;4.07;6.5;0;0;0;0;2.44;13.82;0;2.44;4.88;2.44;0;21.14;13.82;10756;10423;123
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004277;14.58;6.25;2.08;0;8.33;4.17;6.25;4.17;2.08;0;0;0;2.08;8.33;2.08;2.08;8.33;2.08;0;12.5;14.58;10721;10421;48
England;52.51417;-1.976389;West Bromwich;SITE000647;SAMP001729;3.85;3.85;0;0;7.69;3.85;0;11.54;0;3.85;0;0;0;11.54;0;3.85;3.85;0;0;26.92;19.23;10647;10189;26
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006187;1.41;1.41;2.82;1.41;4.23;2.82;5.63;11.27;0;0;1.41;0;1.41;12.68;0;5.63;9.86;5.63;0;15.49;16.9;10576;10221;71
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000450;0;0;11.11;0;0;0;11.11;22.22;0;0;0;0;0;11.11;0;0;0;22.22;0;11.11;11.11;10571;9320;9
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003991;8.7;2.9;7.25;0;4.35;1.45;4.35;13.04;0;0;0;0;2.9;10.14;0;4.35;2.9;7.25;0;20.29;10.14;10570;9555;69
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000247;14.29;3.57;3.57;0;14.29;3.57;3.57;10.71;0;0;0;0;3.57;10.71;0;0;10.71;3.57;0;7.14;10.71;10555;10230;28
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000246;7.14;7.14;7.14;0;14.29;7.14;0;7.14;0;0;0;0;0;14.29;0;0;14.29;0;0;21.43;0;10554;10228;14
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005746;20;0;0;5;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;30;25;10550;10281;20
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005749;7.32;4.88;4.88;0;7.32;4.88;7.32;7.32;0;0;0;0;0;9.76;0;4.88;4.88;4.88;0;17.07;14.63;10398;10222;41
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003990;17.65;0;5.88;0;0;0;0;17.65;0;0;0;0;0;17.65;0;0;0;0;0;29.41;11.76;10387;9488;17
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006188;6.82;2.27;2.27;2.27;4.55;2.27;2.27;6.82;0;0;2.27;0;0;20.45;0;0;4.55;2.27;0;18.18;22.73;10295;9773;44
England;53.23778;-2.506389;Davenham: Church Moss;SITE000128;SAMP000206;5.45;1.82;3.64;0;9.09;1.82;3.64;5.45;0;0;0;0;0;10.91;0;5.45;1.82;3.64;0;29.09;18.18;10246;9929;55
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005748;8.33;2.78;2.78;0;2.78;2.78;5.56;5.56;0;2.78;0;0;0;8.33;2.78;5.56;5.56;5.56;0;22.22;16.67;10240;9945;36
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000592;0;3.7;7.41;0;3.7;7.41;7.41;7.41;0;0;0;0;0;7.41;0;0;3.7;14.81;0;14.81;22.22;10235;9765;27
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003989;5.56;5.56;5.56;0;5.56;5.56;5.56;11.11;0;0;0;0;0;11.11;0;5.56;5.56;5.56;0;16.67;11.11;10225;9304;18
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006186;6.67;2.22;2.22;2.22;4.44;2.22;4.44;8.89;0;0;2.22;0;2.22;15.56;0;4.44;8.89;4.44;0;11.11;17.78;10199;9634;45
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004275;10.71;5.36;1.79;0;7.14;1.79;5.36;8.93;0;0;0;1.79;3.57;12.5;0;3.57;8.93;3.57;0;12.5;12.5;10188;9779;56
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004354;5;0;5;0;10;5;5;15;0;0;0;0;0;10;0;5;5;5;0;20;10;10157;9558;20
Sweden;56.1;13.06667;Körslättamossen;SITE000323;SAMP000799;16.67;0;0;0;16.67;0;0;16.67;0;0;0;0;0;16.67;0;0;16.67;0;0;0;16.67;10157;9533;6
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004276;8.11;2.7;2.7;0;5.41;2.7;5.41;8.11;0;0;2.7;0;0;13.51;0;5.41;8.11;5.41;0;16.22;13.51;10153;9627;37
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005193;21.74;2.9;2.9;0;4.35;1.45;7.25;5.8;0;0;0;4.35;1.45;7.25;0;2.9;2.9;2.9;0;17.39;14.49;10147;9684;69
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003988;0;5.26;5.26;0;5.26;5.26;10.53;10.53;0;0;0;0;0;10.53;0;10.53;5.26;5.26;0;15.79;10.53;10147;9027;19
Sweden;55.56805;13.81722;Valleröds Mosse;SITE001106;SAMP005958;9.09;0;0;0;0;0;9.09;9.09;0;0;0;0;9.09;9.09;0;0;0;0;0;36.36;18.18;10137;9543;11
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000449;0;0;11.11;0;0;0;11.11;22.22;0;0;0;0;0;11.11;0;11.11;0;11.11;0;11.11;11.11;10119;8608;9
France;49.08333;0.2;Havre;SITE000262;SAMP000625;2.27;0;4.55;0;2.27;6.82;9.09;6.82;0;0;0;0;0;11.36;4.55;4.55;0;6.82;0;29.55;11.36;10110;9014;44
England;52.2175;-1.856389;Alcester: Alluvial;SITE000011;SAMP000028;11.43;5.71;2.86;0;11.43;2.86;5.71;8.57;0;0;0;0;0;5.71;0;2.86;8.57;0;0;28.57;5.71;9887;9090;35
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004274;8.16;2.04;4.08;0;4.08;6.12;6.12;6.12;0;0;2.04;0;0;16.33;0;4.08;6.12;6.12;0;12.24;16.33;9886;9540;49
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006190;7.53;3.23;3.23;0;6.45;2.15;4.3;11.83;1.08;0;1.08;0;0;11.83;0;3.23;8.6;4.3;0;12.9;18.28;9699;9308;93
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003074;8.33;0;0;0;0;0;8.33;16.67;8.33;0;8.33;0;0;8.33;0;16.67;0;8.33;0;0;16.67;9679;9474;12
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005747;13.51;2.7;2.7;0;5.41;2.7;2.7;8.11;0;2.7;0;0;2.7;10.81;0;5.41;2.7;2.7;0;21.62;13.51;9664;9528;37
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000244;5.63;4.23;5.63;0;8.45;4.23;5.63;8.45;0;0;0;0;1.41;11.27;1.41;1.41;11.27;4.23;0;14.08;12.68;9625;9470;71
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006189;4.29;2.86;5.71;0;4.29;4.29;5.71;10;1.43;1.43;2.86;0;0;10;0;1.43;10;7.14;0;11.43;17.14;9621;9273;70
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000589;12.05;2.41;7.23;0;3.61;3.61;4.82;7.23;0;0;0;1.2;1.2;12.05;0;1.2;4.82;6.02;0;15.66;16.87;9596;9290;83
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004273;8.7;4.35;2.17;0;6.52;4.35;4.35;6.52;0;2.17;2.17;0;2.17;13.04;0;4.35;6.52;4.35;0;13.04;15.22;9553;9422;46
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000245;4.29;7.14;4.29;0;10;5.71;4.29;10;0;0;0;0;0;12.86;1.43;2.86;8.57;1.43;0;14.29;12.86;9539;9328;70
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005750;5.56;2.78;5.56;0;2.78;2.78;11.11;2.78;0;0;0;0;0;11.11;2.78;2.78;2.78;5.56;0;25;16.67;9528;9423;36
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003986;19.44;2.78;2.78;0;2.78;2.78;2.78;11.11;0;0;0;0;5.56;8.33;0;2.78;2.78;5.56;0;22.22;8.33;9526;8610;36
England;52.2175;-1.856389;Alcester: Alluvial;SITE000011;SAMP000027;7.58;1.52;6.06;0;7.58;4.55;6.06;7.58;0;0;0;0;0;10.61;0;4.55;4.55;9.09;0;22.73;7.58;9501;9032;66
Norway;74.46667;19.06667;Bjørnøya;SITE001230;SAMP006770;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9491;9132;1
France;49.08333;0.2;Havre;SITE000262;SAMP000626;13.33;1.67;3.33;0;3.33;3.33;6.67;3.33;0;1.67;0;0;3.33;5;0;3.33;3.33;3.33;0;31.67;13.33;9475;8628;60
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004272;11.27;2.82;2.82;0;5.63;5.63;5.63;4.23;1.41;1.41;1.41;1.41;2.82;14.08;1.41;2.82;4.23;4.23;0;11.27;15.49;9472;9138;71
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004353;0;0;0;0;0;0;33.33;0;0;0;0;0;0;0;0;33.33;0;0;0;0;33.33;9468;8990;3
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000588;11.11;0;11.11;0;0;5.56;5.56;5.56;0;0;0;0;0;16.67;0;0;0;11.11;0;5.56;27.78;9435;8795;18
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006191;5.88;4.41;5.88;0;4.41;4.41;7.35;8.82;0;0;1.47;0;1.47;8.82;0;2.94;10.29;7.35;0;10.29;16.18;9426;8790;68
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000448;0;8.33;8.33;0;8.33;8.33;8.33;0;0;0;0;0;0;8.33;0;16.67;8.33;8.33;0;8.33;8.33;9416;8212;12
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005190;14.47;2.63;3.95;1.32;5.26;1.32;6.58;6.58;0;0;0;1.32;3.95;9.21;0;5.26;3.95;3.95;0;17.11;13.16;9409;9033;76
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000591;16.67;0;0;0;0;0;0;25;0;0;0;0;0;16.67;0;0;0;0;0;25;16.67;9399;8779;12
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004271;7.35;2.94;2.94;0;5.88;2.94;5.88;8.82;2.94;0;0;1.47;1.47;10.29;0;2.94;5.88;4.41;0;14.71;19.12;9279;8997;68
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004352;0;0;0;0;16.67;0;0;16.67;0;0;0;0;0;16.67;0;16.67;0;0;0;16.67;16.67;9266;8637;6
England;53.23778;-2.506389;Davenham: Church Moss;SITE000128;SAMP000207;4.55;4.55;4.55;0;4.55;4.55;4.55;4.55;0;0;0;0;0;9.09;0;4.55;4.55;4.55;0;27.27;18.18;9253;9006;22
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004270;2.86;2.86;2.86;0;7.14;4.29;5.71;10;1.43;0;1.43;1.43;0;10;1.43;2.86;5.71;2.86;0;15.71;21.43;9246;8773;70
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004351;1.35;4.05;2.7;0;6.76;4.05;4.05;9.46;0;0;0;0;1.35;14.86;0;5.41;6.76;4.05;0;24.32;10.81;9240;8598;74
